unix,open,high,low,close
1640334660,51193.58,51203.5,51192.38,51192.38
1640334600,51193.58,51198.7,51193.58,51198.7
1640334540,51194.88,51198.39,51180,51197.49
1640334480,51177.21,51195,51177.21,51186.99
1640334420,51118.31,51190.99,51118.31,51177.22
1640334360,51109.83,51129.99,51107.88,51107.88
1640334300,51124.05,51130,51100.1,51129.99
1640334240,51107.64,51122.86,51107.64,51122.86
1640334180,51112.86,51112.86,51051.39,51095.72
1640334120,51118.62,51128.94,51118.62,51128.94
1640334060,51130,51130,51085.91,51085.91
1640334000,51127.06,51141.18,51095.87,51130
1640333940,51110.82,51127.06,51106.1,51127.05
1640333880,51127.07,51127.07,51083.66,51083.66
1640333820,51127.07,51127.07,51099.56,51099.56
1640333760,51108.16,51108.16,51090.95,51099.35
1640333700,51077.09,51108.46,51075.72,51097.27
1640333640,51050.28,51112.29,51050.28,51112.29
1640333580,51017.44,51043.18,51017.44,51038.35
1640333520,50969.83,51061.31,50969.83,51046.58
1640333460,50973.25,50973.26,50930.82,50968.17
1640333400,50949.08,50973.84,50930.16,50973.84
1640333340,50999.62,50999.62,50975.83,50975.83
1640333280,51002.71,51002.96,50998.52,50998.52
1640333220,50985.42,50985.42,50985.21,50985.22
1640333160,50985.22,50985.22,50985.22,50985.22
1640333100,50948.07,51002.37,50948.07,51002.37
1640333040,50911.67,50953.19,50911.67,50924.91
1640332980,50973.26,50973.26,50913.62,50918.61
1640332920,50963.13,50966.22,50925.86,50966.22
1640332860,51003.09,51016.5,50942.98,50948.65
1640332800,51030.11,51030.11,51005.86,51005.86
1640332740,51039.14,51039.14,51023.14,51023.14
1640332680,51019.42,51028.34,51005.86,51028.34
1640332620,51007.36,51026.55,51000,51000
1640332560,50995.24,51026.55,50995.24,51012.96
1640332500,50976.83,51001.22,50956.19,50956.19
1640332440,50983.36,50983.36,50964.36,50964.36
1640332380,50980.16,50980.16,50966.66,50971.36
1640332320,50985.17,50985.17,50975,50975
1640332260,51000.56,51000.56,51000.56,51000.56
1640332200,50975.29,51000.56,50975.29,50999.8
1640332140,50974.82,50974.82,50974.82,50974.82
1640332080,50974.79,50974.82,50970.65,50970.65
1640332020,50965.63,50965.63,50965.63,50965.63
1640331960,50971.23,50971.23,50971.23,50971.23
1640331900,50971.43,50987.1,50960.57,50987.1
1640331840,50968.81,50968.81,50967.36,50967.36
1640331780,50963.07,50994.42,50962.82,50994.42
1640331720,51000,51006.18,50979.84,50979.84
1640331660,50979.84,50990.38,50979.84,50990.38
1640331600,50979.84,50979.84,50966.92,50966.92
1640331540,50987.56,50987.56,50967.43,50979.84
1640331480,50999.31,50999.31,50970.36,50970.36
1640331420,51006.05,51006.05,50990.86,50999.31
1640331360,51012.44,51012.44,51001.11,51001.11
1640331300,51002.64,51017.78,51000.24,51017.78
1640331240,51023.67,51024.94,50996.96,50996.96
1640331180,51043.05,51043.57,51021.96,51021.96
1640331120,51050.45,51050.45,51044.58,51044.58
1640331060,51074.45,51074.45,51063.15,51063.15
1640331000,51078.17,51099,51078.17,51083.28
1640330940,51080.25,51084.56,51074.25,51078.17
1640330880,51081.04,51081.65,51081.04,51081.65
1640330820,51060.39,51065.35,51049.95,51049.95
1640330760,51084.97,51084.97,51081.64,51081.64
1640330700,51073.21,51084.34,51063.61,51084.34
1640330640,51081.86,51083.37,51048.45,51083.37
1640330580,51034.51,51079.82,51034.51,51079.82
1640330520,51036.6,51036.6,51031.17,51031.17
1640330460,51009.2,51009.2,51009.2,51009.2
1640330400,51043.07,51043.07,51032.99,51032.99
1640330340,51038.48,51038.48,51021.36,51030.5
1640330280,51030.44,51068.47,51030.44,51043.61
1640330220,51040.85,51040.85,51040.85,51040.85
1640330160,51031.54,51040.04,51031.54,51040.04
1640330100,51030.04,51033.54,51017.35,51031.24
1640330040,51005.84,51029.14,50989.46,51029.14
1640329980,50993.04,51003.12,50978.18,50994.57
1640329920,50976.03,50994.62,50970.76,50993.04
1640329860,50969.41,50975.13,50969.41,50975.13
1640329800,50975.13,50975.13,50952.94,50958.13
1640329740,50978.75,50983.76,50978.75,50978.78
1640329680,50964.04,50964.04,50964.04,50964.04
1640329620,50948,50959.94,50932.48,50959.94
1640329560,50921.42,50948,50901.98,50948
1640329500,50936.03,50936.03,50914.38,50914.38
1640329440,50910.62,50936.03,50909.32,50936.03
1640329380,50888.05,50888.05,50878.92,50878.92
1640329320,50882.32,50899.14,50882.32,50888.05
1640329260,50897.02,50897.02,50876.12,50897.02
1640329200,50889.42,50897.65,50889.42,50897.65
1640329140,50928.43,50945.23,50928.43,50945.22
1640329080,50875.1,50937.32,50867.98,50912.01
1640329020,50921.82,50921.82,50889.42,50889.42
1640328960,50955.72,50955.72,50926.91,50926.91
1640328900,50955.72,50971.21,50955.72,50971.21
1640328840,50950,50975.71,50950,50975.71
1640328780,50998.44,50999.74,50971.13,50984.04
1640328720,50984.13,51016.26,50984.13,51012.35
1640328660,50972.02,51015.54,50972.02,51006.64
1640328600,50979.88,50988.06,50969.56,50988.02
1640328540,50987.6,50987.6,50979.88,50979.88
1640328480,50997.73,51000.56,50971.1,50986.47
1640328420,51007.33,51007.33,50996.74,51000.94
1640328360,51015.84,51015.84,51015.84,51015.84
1640328300,50976.24,51015.84,50976.24,51015.84
1640328240,50978.29,50984.73,50965.55,50983.44
1640328180,50978.29,50985.14,50970.82,50984.13
1640328120,50978.29,50978.29,50978.29,50978.29
1640328060,50959.43,50978.29,50954.03,50978.29
1640328000,50960.14,50965.55,50951.78,50951.78
1640327940,50977.33,50977.33,50944.03,50960.14
1640327880,50988.49,51000.74,50969.68,50984.25
1640327820,50969.18,50988.1,50969.18,50988.1
1640327760,50963.9,50988.49,50963.9,50969.18
1640327700,50982.48,50982.48,50958.72,50974.96
1640327640,50977.53,50982.48,50977.53,50982.48
1640327580,50958.88,50983.36,50958.88,50983.36
1640327520,50984.94,50984.94,50951.33,50981.13
1640327460,50959.03,50959.03,50954.63,50954.63
1640327400,50949.08,50971.7,50949.08,50968.93
1640327340,50949.13,50949.13,50922.37,50949.11
1640327280,50942.63,50965.73,50940.39,50965.73
1640327220,50948.43,50950.23,50948.43,50950.23
1640327160,50931.47,50953.92,50923.22,50953.92
1640327100,50862.77,50919.82,50862.77,50919.82
1640327040,50873.26,50894.22,50873.26,50873.26
1640326980,50841.41,50860.56,50841.41,50860.56
1640326920,50841.17,50847.86,50841.17,50847.86
1640326860,50822.73,50841.17,50796.8,50841.17
1640326800,50820,50839.05,50771,50839.05
1640326740,50835.11,50843.91,50835.11,50841.11
1640326680,50822.16,50846.59,50822.16,50846.59
1640326620,50838.61,50869.14,50838.61,50865.01
1640326560,50849.76,50849.76,50799.1,50821.54
1640326500,50874,50874,50849.17,50858.81
1640326440,50886.94,50899.66,50874,50880.81
1640326380,50838.01,50874,50838.01,50849.17
1640326320,50910,50927.7,50841.2,50841.2
1640326260,50889.39,50899.34,50870.88,50899.33
1640326200,50936.19,50936.19,50899.36,50899.36
1640326140,50967.61,50967.61,50967.61,50967.61
1640326080,50931.23,50931.23,50905.58,50929.26
1640326020,50957.53,50957.53,50942.57,50942.57
1640325960,50959.38,50962.3,50957.73,50962.3
1640325900,50940.32,50945.72,50924.89,50945.72
1640325840,50934.68,50939.09,50915.57,50939.09
1640325780,50960.95,50967.91,50927.91,50927.91
1640325720,51014.54,51014.54,50995.61,50995.61
1640325660,51010.62,51010.62,50999.88,50999.88
1640325600,51019.94,51021.19,51010.62,51010.62
1640325540,51039.16,51039.16,51027.65,51027.65
1640325480,51031.58,51031.58,51031.58,51031.58
1640325420,50988.77,51006.78,50973.59,51000.56
1640325360,51015.62,51015.62,50986,50986
1640325300,50997.82,51039.4,50997.82,51039.4
1640325240,51019.97,51019.97,50969.77,50992.44
